datum,value
Jan,240.37920916612256
Feb,203.62084310673
Mar,224.36313753654622
Apr,189.8520824394
May,196.27779413000962
Jun,189.73520099234
Jul,196.27779413000917
Aug,196.27779413001008
Sep,191.731101760071
Oct,265.6338456295771
Nov,267.47
Dec,283.3759653100851
